Titre : Paiements;;;;;;;;;;;;;;;;
Compte client : 78569-MELJAC-Standard-Domestique-EUR;;;;;;;;;;;;;;;;
Export réalisé le : 21/03/2024;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Raison sociale;SIREN;NIC;Code acheteur;Ma référence;Mode de paiement;Date de saisie;Montant (EUR);Montant affecté (EUR);Solde;Statut;Numéro de paiement;Date d'échéance;Motif de non affectation;Nom du donneur d'ordre;Numéro du document;Type de document
SONEPAR IDF - MALAKOFF;572186989;180;4665282;285;Virement;18/03/2024;19,3;19,3;0;Paiement affecté;70218066;-;;SONEPAR FRANCE DISTRIBUTION        ;202400252;Facture
BALANCE MELJAC;999018989;78569;7777777;;Chèque;14/03/2024;469,56;469,56;0;Paiement affecté;70202661;-;;                                   ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;14/03/2024;6 471,46;6 471,46;0;Paiement affecté;70202663;-;;ASSA ABLOY GLOBAL SOLUTIONS FRANCE ;plusieurs documents associées;SOLDE
LC DECO;818248627;23;7705428;9901;Virement;14/03/2024;1 058,32;1 058,32;0;Paiement affecté;70202664;-;;SARL LC DECO                       ;plusieurs documents associées;SOLDE
BITAROFF;498974146;17;4744956;227;Virement;14/03/2024;335,04;335,04;0;Paiement affecté;70202665;-;;BITAROFF                           ;plusieurs documents associées;SOLDE
PURE INSPIRATION;412451965;13;5001567;10253;Virement;14/03/2024;313,25;313,25;0;Paiement affecté;70202667;-;;PURE INSPIRATION                   ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;14/03/2024;161,29;161,29;0;Paiement affecté;70202669;-;;PROLUM BOURGOGNE FRANCHE COMTE     ;plusieurs documents associées;SOLDE
REVET ELECTRIC;881667810;17;7002537;15731;Virement;14/03/2024;83,65;83,65;0;Paiement affecté;70202670;-;;REVET ELECTRIC                     ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;14/03/2024;29,6;29,6;0;Paiement affecté;70202672;-;;SARL ENT D ELECTRICITE BRENGUIER   ;plusieurs documents associées;SOLDE
ENT D'ELECTRICITE BRENGUIER;423072172;38;4844999;264;Virement;14/03/2024;29,6;29,6;0;Paiement affecté;70202672;-;;SARL ENT D ELECTRICITE BRENGUIER   ;plusieurs documents associées;SOLDE
SALUSTRA S A;668502156;15;4672952;8972;Chèque;14/03/2024;469,56;469,56;0;Paiement affecté;70202661;-;;                                   ;plusieurs documents associées;SOLDE
PROLUM BOURGOGNE FRANCHE-COMTE;919337402;11;7346028;17786;Virement;14/03/2024;161,29;161,29;0;Paiement affecté;70202669;-;;PROLUM BOURGOGNE FRANCHE COMTE     ;plusieurs documents associées;SOLDE
ASSA ABLOY HOSPITALITY;323946863;61;6542137;10085;Virement;14/03/2024;6 471,46;6 471,46;0;Paiement affecté;70202663;-;;ASSA ABLOY GLOBAL SOLUTIONS FRANCE ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;13/03/2024;74 405,47;74 405,47;0;Paiement affecté;70198865;-;;M.E.S. INTERNATIONAL               ;plusieurs documents associées;SOLDE
STUDIO ON;812801199;17;5097886;10437;Virement;13/03/2024;191,81;191,81;0;Paiement affecté;70198866;-;;SARL STUDIO ON                     ;plusieurs documents associées;SOLDE
MES INTERNATIONAL;997833991;98000;6748003;;Virement;13/03/2024;74 405,47;74 405,47;0;Paiement affecté;70198865;-;;M.E.S. INTERNATIONAL               ;plusieurs documents associées;SOLDE
STUDIO ON;812801199;17;5097886;10437;Virement;12/03/2024;3 207,88;3 207,88;0;Paiement affecté;70189896;-;;SARL STUDIO ON                     ;plusieurs documents associées;SOLDE
STUDIO ON;812801199;17;5097886;10437;Virement;12/03/2024;918,53;918,53;0;Paiement affecté;70189897;-;;SARL STUDIO ON                     ;plusieurs documents associées;SOLDE
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;12/03/2024;813,8;813,8;0;Paiement affecté;70189898;-;;PARIS DESIGN DISTRICT              ;plusieurs documents associées;SOLDE
METRES CARRES;528859085;29;5025795;5575;Virement;12/03/2024;425,23;425,23;0;Paiement affecté;70189900;-;;METRES CARRES                      ;70189900;Rétrocession d'un crédit
INEO LOGISTIQUE;421357872;132;4646609;819;Virement;12/03/2024;274,25;274,25;0;Paiement affecté;70189901;-;;INEO TERTIAIRE IDF                 ;202400149;Facture
LUMIDIS;382537504;13;4640861;502;Virement;11/03/2024;20 006,64;20 006,64;0;Paiement affecté;70179293;-;;LUMIDIS                            ;plusieurs documents associées;SOLDE
DELUX;500478813;16;4777577;479;Virement;11/03/2024;7 895,22;7 895,22;0;Paiement affecté;70179295;-;;DELUX                              ;70179295;Rétrocession d'un crédit
BALANCE MELJAC;999018989;78569;7777777;;Virement;11/03/2024;1 376,39;1 376,39;0;Paiement affecté;70179297;-;;FORUM PATRIMOINE                   ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;08/03/2024;7 997,89;7 997,89;0;Paiement affecté;70171442;-;;MELJAC                             ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;08/03/2024;664,52;664,52;0;Paiement affecté;70171444;-;;SOCIETE SR                         ;plusieurs documents associées;SOLDE
TSEE FRANCE;799155858;19;6211145;1449;Virement;08/03/2024;479,83;479,83;0;Paiement affecté;70171445;-;;TSEE FRANCE                        ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;08/03/2024;15,83;15,83;0;Paiement affecté;70171447;-;;CUST HOME PACA                     ;plusieurs documents associées;SOLDE
SR ELECTROTECHNIQUE;488375072;37;4672931;2983;Virement;08/03/2024;664,52;664,52;0;Paiement affecté;70171444;-;;SOCIETE SR                         ;plusieurs documents associées;SOLDE
CUST'HOME PACA;453816050;26;6703816;2776;Virement;08/03/2024;15,83;15,83;0;Paiement affecté;70171447;-;;CUST HOME PACA                     ;plusieurs documents associées;SOLDE
LUNE;879140945;20;7085210;16754;Eclatement de cash crédit;08/03/2024;4 228,75;4 228,75;0;Paiement affecté;70171442;-;;                                   ;plusieurs documents associées;SOLDE
COGECLIM;821540713;20;7627117;18928;Virement;07/03/2024;7 929,05;7 929,05;0;Paiement affecté;70164251;-;;COGECLIM                           ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;07/03/2024;371,35;371,35;0;Paiement affecté;70164253;-;;A.S.M.I                            ;plusieurs documents associées;SOLDE
ASMI;387765340;30;7109008;15261;Virement;07/03/2024;371,35;371,35;0;Paiement affecté;70164253;-;;A.S.M.I                            ;202400678;Facture
BALANCE MELJAC;999018989;78569;7777777;;Chèque;06/03/2024;207;207;0;Paiement affecté;70156632;-;;                                   ;plusieurs documents associées;SOLDE
FEUKA LUMINAIRES;457206555;23;4672956;6071;Virement;06/03/2024;3 108,52;3 108,52;0;Paiement affecté;70156633;-;;FEUKA LUMINAIRES                   ;202307990;Facture
BALANCE MELJAC;999018989;78569;7777777;;Virement;06/03/2024;1 137,16;1 137,16;0;Paiement affecté;70156635;-;;ETS LEBRUN ELECTRICITE             ;plusieurs documents associées;SOLDE
DELUX;500478813;16;4777577;479;Virement;06/03/2024;612,59;612,59;0;Paiement affecté;70156636;-;;DELUX                              ;202400276;Facture
ERTELEC;831275573;28;6777811;12016;Virement;06/03/2024;44,75;44,75;0;Paiement affecté;70156637;-;;SARL  UNI ERTELEC                  ;202400461;Facture
PROLUM NORD PAS DE CALAIS;448384347;51;4672951;8633;Virement;06/03/2024;29,93;29,93;0;Paiement affecté;70156638;-;;PROLUM NORD PAS DE CALAIS          ;plusieurs documents associées;SOLDE
JP LEBRUN;378155824;55;4672955;913;Virement;06/03/2024;1 137,16;1 137,16;0;Paiement affecté;70156635;-;;ETS LEBRUN ELECTRICITE             ;plusieurs documents associées;SOLDE
SALUSTRA S A;668502156;15;4672952;8972;Chèque;06/03/2024;207;207;0;Paiement affecté;70156632;-;;                                   ;plusieurs documents associées;SOLDE
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;05/03/2024;10 836,46;10 836,46;0;Paiement affecté;70147867;-;;SAS   ECLAIRAGE LED DIFFUSION      ;plusieurs documents associées;SOLDE
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;05/03/2024;10 772,72;10 772,72;0;Paiement affecté;70147868;-;;SAS   ECLAIRAGE LED DIFFUSION      ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;05/03/2024;6 680,72;6 680,72;0;Paiement affecté;70147871;-;;MELJAC                             ;plusieurs documents associées;SOLDE
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;05/03/2024;6 357,53;6 357,53;0;Paiement affecté;70147872;-;;SAS   ECLAIRAGE LED DIFFUSION      ;plusieurs documents associées;SOLDE
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;05/03/2024;1 999,73;1 999,73;0;Paiement affecté;70147873;-;;SAS   ECLAIRAGE LED DIFFUSION      ;plusieurs documents associées;SOLDE
HENRI;702016452;22;5339496;778;Virement;05/03/2024;1 317,14;1 317,14;0;Paiement affecté;70147874;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
PROLUM BRETAGNE;837539360;29;7653959;12682;Virement;05/03/2024;949,1;949,1;0;Paiement affecté;70147875;-;;PROLUM BRETAGNE                    ;plusieurs documents associées;SOLDE
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;05/03/2024;889,45;889,45;0;Paiement affecté;70147876;-;;SAS   ECLAIRAGE LED DIFFUSION      ;plusieurs documents associées;SOLDE
LC DECO;818248627;23;7705428;9901;Virement;05/03/2024;208,8;208,8;0;Paiement affecté;70147877;-;;SARL LC DECO                       ;plusieurs documents associées;SOLDE
PROLUM ATLANTIQUE;834606501;23;7238662;16787;Virement;05/03/2024;180,34;180,34;0;Paiement affecté;70147878;-;;PROLUM ATLANTIQUE                  ;plusieurs documents associées;SOLDE
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;05/03/2024;169,45;169,45;0;Paiement affecté;70147879;-;;SAS   ECLAIRAGE LED DIFFUSION      ;plusieurs documents associées;SOLDE
LC DECO;818248627;23;7705428;9901;Virement;05/03/2024;82,8;82,8;0;Paiement affecté;70147880;-;;SARL LC DECO                       ;plusieurs documents associées;SOLDE
LUCE VITA;788957835;36;5764068;8976;Virement;05/03/2024;6 680,72;6 680,72;0;Paiement affecté;70147871;-;;MELJAC                             ;202400375;Facture
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;04/03/2024;24 318,22;24 318,22;0;Paiement affecté;70136876;-;;SAS   ECLAIRAGE LED DIFFUSION      ;plusieurs documents associées;SOLDE
SERRA LUMINAIRE CONTEMPORAIN;420106346;18;4640827;1386;Virement;04/03/2024;8 963,30;8 963,30;0;Paiement affecté;70136877;-;;SARL SERRA                         ;plusieurs documents associées;SOLDE
SERRA LUMINAIRE CONTEMPORAIN;420106346;18;4640827;1386;Virement;04/03/2024;7 799,83;7 799,83;0;Paiement affecté;70136880;-;;SARL SERRA                         ;plusieurs documents associées;SOLDE
MAWA;499761567;35;6946719;c15096;Virement;04/03/2024;2 897,84;2 897,84;0;Paiement affecté;70136881;-;;MAWA SAS                           ;plusieurs documents associées;SOLDE
OMNILUM;534132444;17;5567723;5464;Virement;04/03/2024;1 609,25;1 609,25;0;Paiement affecté;70136882;-;;SARL OMNILUM                       ;202400497;Facture
CLAUDE MERMIN ELECTRICITE;320917107;56;6309680;1047;Virement;04/03/2024;1 047,43;1 047,43;0;Paiement affecté;70136883;-;;SOCIETE CLAUDE MERMIN ELECTRICITE G;plusieurs documents associées;SOLDE
STUDIO ON;812801199;17;5097886;10437;Virement;04/03/2024;459,4;459,4;0;Paiement affecté;70136884;-;;SARL STUDIO ON                     ;plusieurs documents associées;SOLDE
STUDIO ON;812801199;17;5097886;10437;Virement;04/03/2024;322,12;322,12;0;Paiement affecté;70136885;-;;SARL STUDIO ON                     ;plusieurs documents associées;SOLDE
HENRI;702016452;22;5339496;778;Virement;04/03/2024;273,02;273,02;0;Paiement affecté;70136887;-;;HENRI ALPES                        ;plusieurs documents associées;SOLDE
ETS PEZANT;582073029;57;4640871;5953;Virement;04/03/2024;184,2;184,2;0;Paiement affecté;70136888;-;;ETS PEZANT                         ;plusieurs documents associées;SOLDE
MISE EN SCENE;434895066;34;4665331;7955;Virement;04/03/2024;158,91;158,91;0;Paiement affecté;70136889;-;;MISE EN SCENE                      ;plusieurs documents associées;SOLDE
STUDIO ON;812801199;17;5097886;10437;Virement;04/03/2024;91,93;91,93;0;Paiement affecté;70136890;-;;SARL STUDIO ON                     ;plusieurs documents associées;SOLDE
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/03/2024;13 147,12;13 147,12;0;Paiement affecté;70119228;-;;PARIS DESIGN DISTRICT              ;plusieurs documents associées;SOLDE
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/03/2024;11 346,85;11 346,85;0;Paiement affecté;70119231;-;;PARIS DESIGN DISTRICT              ;plusieurs documents associées;SOLDE
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/03/2024;2 871,89;2 871,89;0;Paiement affecté;70119235;-;;PARIS DESIGN DISTRICT              ;plusieurs documents associées;SOLDE
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/03/2024;1 120,26;1 120,26;0;Paiement affecté;70119237;-;;PARIS DESIGN DISTRICT              ;plusieurs documents associées;SOLDE
IMBERT ELECTRICITE;487791980;13;6439988;811;Virement;01/03/2024;1 096,27;1 096,27;0;Paiement affecté;70119240;-;;SARL IMBERT ELECTRICITE            ;plusieurs documents associées;SOLDE
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/03/2024;597,1;597,1;0;Paiement affecté;70119244;-;;PARIS DESIGN DISTRICT              ;plusieurs documents associées;SOLDE
BITAROFF;498974146;17;4744956;227;Virement;01/03/2024;464,42;464,42;0;Paiement affecté;70119247;-;;BITAROFF                           ;plusieurs documents associées;SOLDE
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/03/2024;170,84;170,84;0;Paiement affecté;70119250;-;;PARIS DESIGN DISTRICT              ;plusieurs documents associées;SOLDE
REXEL FRANCE;309304616;860;4665279;1344;Virement;01/03/2024;72,17;72,17;0;Paiement affecté;70119253;-;;REXEL FRANCE                       ;plusieurs documents associées;SOLDE
SIGEBENE;328539226;30;7641184;5805;Virement;29/02/2024;1 452,40;1 452,40;0;Paiement affecté;70108925;-;;SIGEBENE                           ;202400195;Facture
TAT ELECTRICITE;397607011;38;4672916;1443;Virement;29/02/2024;79,72;79,72;0;Paiement affecté;70108926;-;;SARL TAT ELECTRICITE               ;202400147;Facture
BALANCE MELJAC;999018989;78569;7777777;;Chèque;28/02/2024;7 215,21;7 215,21;0;Paiement affecté;70100999;-;;                                   ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;28/02/2024;2 214,50;2 214,50;0;Paiement affecté;70101001;-;;MELJAC                             ;plusieurs documents associées;SOLDE
STUDIO ON;812801199;17;5097886;10437;Virement;28/02/2024;139,15;139,15;0;Paiement affecté;70101002;-;;SARL STUDIO ON                     ;plusieurs documents associées;SOLDE
STUDIO ON;812801199;17;5097886;10437;Virement;28/02/2024;135,49;135,49;0;Paiement affecté;70101003;-;;SARL STUDIO ON                     ;plusieurs documents associées;SOLDE
LUX HOME LIGHTING;833459381;12;6599801;14161;Virement;28/02/2024;8,66;8,66;0;Paiement affecté;70101004;-;;LUX HOME LIGHTING                  ;plusieurs documents associées;SOLDE
SOCIETE FONCIERE P.L.M.;377518436;94;7636392;16704;Virement;28/02/2024;2 214,50;2 214,50;0;Paiement affecté;70101001;-;;MELJAC                             ;plusieurs documents associées;SOLDE
RDM;433792876;24;4702808;1224;Eclatement de cash crédit;28/02/2024;1 322,40;1 322,40;0;Paiement affecté;70100999;-;;                                   ;plusieurs documents associées;SOLDE
JEUX DE LUMIERE;489582320;29;4646611;850;Virement;27/02/2024;9 960,28;9 960,28;0;Paiement affecté;70092886;-;;S.A.R.L. JEUX DE LUMIERE           ;plusieurs documents associées;SOLDE
ESPACE LUMIERE;309931830;33;4641961;610;Virement;27/02/2024;222,35;222,35;0;Paiement affecté;70092887;-;;ESPACE LUMIERE                     ;plusieurs documents associées;SOLDE
ELECTRICITE PLAFONDS LUMIERE;380428011;49;4718343;556;Virement;26/02/2024;16,01;16,01;0;Paiement affecté;70080581;-;;ELECTRICITE PLAFONDS LUMIERE       ;202400856;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;22/02/2024;783,73;783,73;0;Paiement affecté;70069564;-;;ROGER DUBOIS SARL                  ;202400058;Facture
LUMIDIS;382537504;13;4640861;502;Virement;21/02/2024;8 735,18;8 735,18;0;Paiement affecté;70061563;-;;LUMIDIS                            ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;21/02/2024;2 171,40;2 171,40;0;Paiement affecté;70061565;-;;MELJAC                             ;plusieurs documents associées;SOLDE
SODELECT;380461855;47;4672914;1415;Virement;21/02/2024;1 756,84;1 756,84;0;Paiement affecté;70061566;-;;SODELECT SARL                      ;plusieurs documents associées;SOLDE
EDISON;850407792;25;7629450;17697;Virement;21/02/2024;2 171,40;2 171,40;0;Paiement affecté;70061565;-;;MELJAC                             ;plusieurs documents associées;SOLDE
PURE INSPIRATION;412451965;13;5001567;10253;Virement;21/02/2024;1 557,80;1 557,80;0;Paiement affecté;70063466;-;;PURE INSPIRATION                   ;plusieurs documents associées;SOLDE
REXEL FRANCE;309304616;860;4665279;1344;Virement;21/02/2024;331,54;331,54;0;Paiement affecté;70063467;-;;REXEL FRANCE                       ;plusieurs documents associées;SOLDE
ELECTRICITE PLAFONDS LUMIERE;380428011;49;4718343;556;Virement;21/02/2024;13,34;13,34;0;Paiement affecté;70063468;-;;ELECTRICITE PLAFONDS LUMIERE       ;202400684;Facture
CEGELEC PAYS DE SAVOIE;537915241;21;7155981;3076;Virement;19/02/2024;3 463,32;3 463,32;0;Paiement affecté;70041786;-;;CEGELEC PAYS DE SAVOIE             ;plusieurs documents associées;SOLDE
MAWA;499761567;35;6946719;c15096;Virement;19/02/2024;2 879,59;2 879,59;0;Paiement affecté;70041787;-;;MAWA SAS                           ;plusieurs documents associées;SOLDE
AQUITAINE ECLAIRAGE;483014411;19;4672932;3296;Virement;19/02/2024;940,27;940,27;0;Paiement affecté;70041788;-;;AQUITAINE ECLAIRAGE                ;plusieurs documents associées;SOLDE
HENRI;702016452;22;5339496;778;Virement;19/02/2024;715,61;715,61;0;Paiement affecté;70041789;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Chèque;16/02/2024;4 856,99;4 856,99;0;Paiement affecté;70029529;-;;                                   ;plusieurs documents associées;SOLDE
CRUDELI;65802308;83;7424297;416;Virement;16/02/2024;80 261,88;80 261,88;0;Paiement affecté;70029531;-;;CRUDELI MONACO                     ;70029531;Rétrocession d'un crédit
DURET ELECTRICITE;412337537;44;7365867;2535;Virement;16/02/2024;26 425,58;26 425,58;0;Paiement affecté;70029532;-;;DURET ELECTRICITE                  ;plusieurs documents associées;SOLDE
LC DECO;818248627;23;7705428;9901;Virement;16/02/2024;8 656,14;8 656,14;0;Paiement affecté;70029534;-;;SARL LC DECO                       ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;16/02/2024;5 051,62;5 051,62;0;Paiement affecté;70029536;-;;SONEPAR FRANCE DISTRIBUTION        ;plusieurs documents associées;SOLDE
REXEL FRANCE;309304616;860;4665279;1344;Virement;16/02/2024;2 166,95;2 166,95;0;Paiement affecté;70029538;-;;REXEL FRANCE                       ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;16/02/2024;140,93;140,93;0;Paiement affecté;70029540;-;;DISTRIBUTION D APPAREILLAGE ELECTRI;plusieurs documents associées;SOLDE
LCRB BAT;537545394;42;6445307;878;Virement;16/02/2024;8 656,14;8 656,14;0;Paiement affecté;70029534;-;;SARL LC DECO                       ;202400387;Facture
SONEPAR SUD-EST;956500367;910;7238670;17401;Eclatement de cash crédit;16/02/2024;4 989,95;4 989,95;0;Paiement affecté;70029536;-;;                                   ;plusieurs documents associées;SOLDE
SONEPAR IDF - MALAKOFF;572186989;180;4665282;285;Eclatement de cash crédit;16/02/2024;61,67;61,67;0;Paiement affecté;70029536;-;;                                   ;plusieurs documents associées;SOLDE
DAEM;999373996;98000;5074914;;Virement;16/02/2024;140,93;140,93;0;Paiement affecté;70029540;-;;DISTRIBUTION D APPAREILLAGE ELECTRI;plusieurs documents associées;SOLDE
SALUSTRA S A;668502156;15;4672952;8972;Eclatement de cash crédit;16/02/2024;116,35;116,35;0;Paiement affecté;70029529;-;;                                   ;plusieurs documents associées;SOLDE
LES ARTISANS BATISSEURS;437811904;22;6567495;11476;Virement;15/02/2024;3 543,04;3 543,04;0;Paiement affecté;70017121;-;;LES ARTISANS BATISSEURS            ;plusieurs documents associées;SOLDE
WITO;527572572;32;7042397;8996;Virement;14/02/2024;533,73;533,73;0;Paiement affecté;70004756;-;;WITO                               ;plusieurs documents associées;SOLDE
CRUDELI;65802308;83;7424297;416;Virement;14/02/2024;336,94;336,94;0;Paiement affecté;70004758;-;;CRUDELI MONACO                     ;70004758;Rétrocession d'un crédit
METRES CARRES;528859085;29;5025795;5575;Virement;13/02/2024;2 197,35;2 197,35;0;Paiement affecté;70000012;-;;METRES CARRES                      ;70000012;Rétrocession d'un crédit
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;13/02/2024;651,46;651,46;0;Paiement affecté;70000013;-;;ROGER DUBOIS SARL                  ;202400116;Facture
EIFFAGE ENERGIE SYSTEMES;378499644;326;4796674;8865;Virement;13/02/2024;267,76;267,76;0;Paiement affecté;70000015;-;;EIFFAGE ENERGIE SYSTEMES           ;70000015;OD crédit Client débit Acheteur
BALANCE MELJAC;999018989;78569;7777777;;Virement;13/02/2024;64,04;64,04;0;Paiement affecté;70000017;-;;FORUM PATRIMOINE                   ;plusieurs documents associées;SOLDE
VALENTE DESIGN;481328904;26;4640845;1518;Virement;09/02/2024;2 796,11;2 796,11;0;Paiement affecté;69979302;-;;VALENTE DESIGN                     ;plusieurs documents associées;SOLDE
TSEE FRANCE;799155858;19;6211145;1449;Virement;09/02/2024;1 683,10;1 683,10;0;Paiement affecté;69979303;-;;TSEE FRANCE                        ;plusieurs documents associées;SOLDE
WITO;527572572;32;7042397;8996;Virement;09/02/2024;638,95;638,95;0;Paiement affecté;69979304;-;;WITO                               ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;08/02/2024;139,3;139,3;0;Paiement affecté;69971894;-;;MELJAC                             ;plusieurs documents associées;SOLDE
BITAROFF;498974146;17;4744956;227;Virement;08/02/2024;135,04;135,04;0;Paiement affecté;69971895;-;;BITAROFF                           ;202400314;Facture
G & D CONCEPTS;449606565;41;6598447;5316;Virement;08/02/2024;7 073,33;7 073,33;0;Paiement affecté;69971892;-;;G   D CONCEPTS                     ;69971892;Rétrocession d'un crédit
SODELECT;380461855;47;4672914;1415;Virement;07/02/2024;1 375,37;1 375,37;0;Paiement affecté;69964713;-;;SODELECT SARL                      ;plusieurs documents associées;SOLDE
GUINIER GENIE ELECTRIQUE;334851755;51;4796677;754;Virement;06/02/2024;7 500,00;7 500,00;0;Paiement affecté;69956139;-;;GUINIER GENIE ELECTRIQUE           ;69956139;Rétrocession d'un crédit
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;06/02/2024;2 024,37;2 024,37;0;Paiement affecté;69956140;-;;PARIS DESIGN DISTRICT              ;plusieurs documents associées;SOLDE
PROLUM BRETAGNE;837539360;29;7653959;12682;Virement;06/02/2024;46,6;46,6;0;Paiement affecté;69956141;-;;PROLUM BRETAGNE                    ;202307727;Facture
